DATE,DFII30
2020-03-19,0.78
2020-03-20,0.34
2020-03-23,-0.01
2020-03-24,-0.07
2020-03-25,0.00
2020-03-26,-0.05
2020-03-27,-0.03
2020-03-30,0.04
2020-03-31,0.16
2020-04-01,0.07
2020-04-02,-0.03
2020-04-03,-0.08
2020-04-06,-0.09
2020-04-07,-0.06
2020-04-08,-0.04
2020-04-09,-0.12
2020-04-10,.
2020-04-13,-0.13
2020-04-14,-0.14
2020-04-15,-0.19
2020-04-16,-0.09
2020-04-17,-0.02
2020-04-20,-0.04
2020-04-21,-0.14
2020-04-22,-0.17
2020-04-23,-0.20
2020-04-24,-0.26
2020-04-27,-0.24
2020-04-28,-0.26
2020-04-29,-0.22
2020-04-30,-0.12
2020-05-01,-0.12
2020-05-04,-0.12
2020-05-05,-0.12
2020-05-06,-0.04
2020-05-07,-0.11
2020-05-08,-0.07
2020-05-11,-0.05
2020-05-12,-0.05
2020-05-13,-0.08
2020-05-14,-0.09
2020-05-15,-0.11
2020-05-18,-0.07
2020-05-19,-0.06
2020-05-20,-0.10
2020-05-21,-0.08
2020-05-22,-0.08
2020-05-25,.
2020-05-26,-0.03
2020-05-27,-0.03
2020-05-28,-0.05
2020-05-29,-0.07
2020-06-01,-0.06
2020-06-02,-0.03
2020-06-03,0.02
2020-06-04,0.06
2020-06-05,0.10
2020-06-08,0.08
2020-06-09,0.05
2020-06-10,-0.03
2020-06-11,-0.10
2020-06-12,-0.04
2020-06-15,-0.05
2020-06-16,-0.01
2020-06-17,-0.01
2020-06-18,-0.07
2020-06-19,-0.09
2020-06-22,-0.12
2020-06-23,-0.14
2020-06-24,-0.14
2020-06-25,-0.16
2020-06-26,-0.20
2020-06-29,-0.18
2020-06-30,-0.15
2020-07-01,-0.15
2020-07-02,-0.18
2020-07-03,.
2020-07-06,-0.20
2020-07-07,-0.23
2020-07-08,-0.19
2020-07-09,-0.24
2020-07-10,-0.22
2020-07-13,-0.24
2020-07-14,-0.25
2020-07-15,-0.24
2020-07-16,-0.27
2020-07-17,-0.28
2020-07-20,-0.30
2020-07-21,-0.32
2020-07-22,-0.32
2020-07-23,-0.34
2020-07-24,-0.37
2020-07-27,-0.36
2020-07-28,-0.39
2020-07-29,-0.40
2020-07-30,-0.42
2020-07-31,-0.45
2020-08-03,-0.44
2020-08-04,-0.46
2020-08-05,-0.45
2020-08-06,-0.45
2020-08-07,-0.41
2020-08-10,-0.41
2020-08-11,-0.37
2020-08-12,-0.35
2020-08-13,-0.30
2020-08-14,-0.26
2020-08-17,-0.28
2020-08-18,-0.35
2020-08-19,-0.33
2020-08-20,-0.26
2020-08-21,-0.34
2020-08-24,-0.36
2020-08-25,-0.34
2020-08-26,-0.35
2020-08-27,-0.26
2020-08-28,-0.28
2020-08-31,-0.35
2020-09-01,-0.39
2020-09-02,-0.40
2020-09-03,-0.39
2020-09-04,-0.33
2020-09-07,.
2020-09-08,-0.35
2020-09-09,-0.34
2020-09-10,-0.36
2020-09-11,-0.33
2020-09-14,-0.32
2020-09-15,-0.34
2020-09-16,-0.32
2020-09-17,-0.32
2020-09-18,-0.31
2020-09-21,-0.30
2020-09-22,-0.30
2020-09-23,-0.31
2020-09-24,-0.33
2020-09-25,-0.34
2020-09-28,-0.34
2020-09-29,-0.36
2020-09-30,-0.32
2020-10-01,-0.34
2020-10-02,-0.33
2020-10-05,-0.27
2020-10-06,-0.26
2020-10-07,-0.24
2020-10-08,-0.29
2020-10-09,-0.29
2020-10-12,.
2020-10-13,-0.33
2020-10-14,-0.33
2020-10-15,-0.33
2020-10-16,-0.33
2020-10-19,-0.30
2020-10-20,-0.26
2020-10-21,-0.26
2020-10-22,-0.23
2020-10-23,-0.25
2020-10-26,-0.28
2020-10-27,-0.30
2020-10-28,-0.29
2020-10-29,-0.26
2020-10-30,-0.23
2020-11-02,-0.26
2020-11-03,-0.24
2020-11-04,-0.27
2020-11-05,-0.29
