DATE,DGS30
2011-01-03,4.39
2011-01-04,4.44
2011-01-05,4.55
2011-01-06,4.53
2011-01-07,4.48
2011-01-10,4.47
2011-01-11,4.49
2011-01-12,4.52
2011-01-13,4.50
2011-01-14,4.53
2011-01-17,.
2011-01-18,4.56
2011-01-19,4.53
2011-01-20,4.60
2011-01-21,4.57
2011-01-24,4.55
2011-01-25,4.48
2011-01-26,4.59
2011-01-27,4.57
2011-01-28,4.53
2011-01-31,4.58
2011-02-01,4.62
2011-02-02,4.64
2011-02-03,4.67
2011-02-04,4.73
2011-02-07,4.71
2011-02-08,4.76
2011-02-09,4.71
2011-02-10,4.75
2011-02-11,4.71
2011-02-14,4.67
2011-02-15,4.66
2011-02-16,4.67
2011-02-17,4.66
2011-02-18,4.70
2011-02-21,.
2011-02-22,4.60
2011-02-23,4.59
2011-02-24,4.54
2011-02-25,4.51
2011-02-28,4.49
2011-03-01,4.48
2011-03-02,4.54
2011-03-03,4.64
2011-03-04,4.60
2011-03-07,4.61
2011-03-08,4.66
2011-03-09,4.60
2011-03-10,4.53
2011-03-11,4.54
2011-03-14,4.52
2011-03-15,4.47
2011-03-16,4.38
2011-03-17,4.42
2011-03-18,4.43
2011-03-21,4.45
2011-03-22,4.44
2011-03-23,4.44
2011-03-24,4.48
2011-03-25,4.51
2011-03-28,4.51
2011-03-29,4.54
2011-03-30,4.52
2011-03-31,4.51
2011-04-01,4.48
2011-04-04,4.49
2011-04-05,4.51
2011-04-06,4.58
2011-04-07,4.63
2011-04-08,4.63
2011-04-11,4.64
2011-04-12,4.58
2011-04-13,4.55
2011-04-14,4.53
2011-04-15,4.47
2011-04-18,4.45
2011-04-19,4.43
2011-04-20,4.47
2011-04-21,4.47
2011-04-22,.
2011-04-25,4.46
2011-04-26,4.39
2011-04-27,4.45
2011-04-28,4.42
2011-04-29,4.40
2011-05-02,4.38
2011-05-03,4.36
2011-05-04,4.33
2011-05-05,4.26
2011-05-06,4.29
2011-05-09,4.30
2011-05-10,4.34
2011-05-11,4.31
2011-05-12,4.37
2011-05-13,4.32
2011-05-16,4.28
2011-05-17,4.23
2011-05-18,4.29
2011-05-19,4.30
2011-05-20,4.30
2011-05-23,4.27
2011-05-24,4.26
2011-05-25,4.28
2011-05-26,4.23
2011-05-27,4.24
2011-05-30,.
2011-05-31,4.22
2011-06-01,4.15
2011-06-02,4.25
2011-06-03,4.22
2011-06-06,4.25
2011-06-07,4.27
2011-06-08,4.20
2011-06-09,4.22
2011-06-10,4.18
2011-06-13,4.20
2011-06-14,4.30
2011-06-15,4.19
2011-06-16,4.16
2011-06-17,4.19
2011-06-20,4.19
2011-06-21,4.21
2011-06-22,4.22
2011-06-23,4.17
2011-06-24,4.17
2011-06-27,4.28
2011-06-28,4.33
2011-06-29,4.39
2011-06-30,4.38
2011-07-01,4.40
2011-07-04,.
2011-07-05,4.39
2011-07-06,4.35
2011-07-07,4.37
2011-07-08,4.27
2011-07-11,4.20
2011-07-12,4.19
2011-07-13,4.17
2011-07-14,4.25
2011-07-15,4.26
2011-07-18,4.29
2011-07-19,4.19
2011-07-20,4.25
2011-07-21,4.31
2011-07-22,4.26
2011-07-25,4.31
2011-07-26,4.28
2011-07-27,4.29
2011-07-28,4.26
2011-07-29,4.12
2011-08-01,4.07
2011-08-02,3.93
2011-08-03,3.89
2011-08-04,3.70
2011-08-05,3.82
2011-08-08,3.68
2011-08-09,3.56
2011-08-10,3.54
2011-08-11,3.82
2011-08-12,3.72
2011-08-15,3.75
2011-08-16,3.67
